,Mails,control
115," ,,SAMSUNG (© N,YUZ, .. O N,7 o şe e,-, Alışveriş Festivali'ni 7,""A kaçırmayın!,,  ,,Akıllı telefondan tablete ve akıllı saate, beyaz eşyadan,televizyona ve monitöre onlarca seçili Samsung,ürününde kaçırılmayacak fırsatları yakalayın!,,7,İNCELE,,Seçili Samsung Satış Noktaları ve * 3,,shop.samsung.com/trGğ)'de.,, ,",1
116,"SAMSUNG,,Samsung süpürgelerle,temizliğin tanımı değişiyor.,,    ,,A “ağ,VS7000 Elektrikli Dikey Süpürge - Jet Siklon VRSOOORM İnce Tasarımlı Robot Süpürge,,Şimdi uzun zamandır istediğiniz süpürgelerle muhteşem temizliği,keşfetmenin tam zamanı. Samsung Powerbot Robot Süpürge İle siz,dinlenirken, süpürgeniz evinizi sizin yerinize temizler. Hem mop hem de,süpürme seçenekleriyle üst düzey konforu yaşarsınız. Samsung Jet,Dikey Süpürge'nin ergonomik tasarım ve güçlü emiş gücü ile,muhteşem temizliğin kapısını aralayın,,İNCELE,",1
117,"SAMSUNG,,Galaxy'nizi genişletin,,Galaxy 10, yeni nesil bir dünyaya atılan ilk adım.,Şimdi diğer Galaxy'leri keşfetme zamanı,,Daha fazla bi,, ,",1
118,"kariyer.net,,Teknolojide. |,,,KariyerGünleri ——,,Kariyerini geliştir,geleceğin teknolojisini sen yarat!,,22 - 23 Mart tarihlerinde teknolojinin devleri ile tanışma fırsatı bu fuardal,,  ,,Türkiye'nin en büyük teknoloji şirketleri ile online olarak birebir sohbet ederek kariyer,fırsatı yakala ve özgeçmişini paylaş.,,Bu fuar kimler için?,,* Yazılım, Oyun Geliştirme, Siber Güvenlik,,« Veri Analitiği, Arge, Yapay Zeka,,* Grafik Tasarım, Kullanıcı Arayüzü, Kullanıcı Deneyimi,* Ürün Yönetimi, İş Geliştirme,,« Pazarlama, Dijital Pazarlama, Sosyal Medya Yönetimi,,alanlarında kariyer planlayan veya kariyerinde ilerlemek isteyen,herkesi bekliyoruz!,,Hemen Kaydol,, ,",0
119,"SAMSUNG,,Beyaz eşyalarınızı yeniliyoruz,,evinize hediyelerle baharı,getiriyoruz.,,Seçili Samsung buzdolabı ve çamaşır makinesi satın alımlarında,Tefal ütü veya Samsung elektrikli süpürge kazanma fırsatı ”,,İNCELE,,dam “ Zz zuzu,",1
120," ,,Samsung Dünyası'na,şfeğetsifelişira,, ,,10 yıldır gerçekleştirdiğimiz yeniliklerin geldiği son nokta olan Galaxy S10'un, her,açıdan çığır açan özellikleriyle Galaxy Çağı'na adım attınız. Biz de Galaxy deneyiminizi,bir adım öteye taşıyabilmek için size özel birkaç öneri hazırladık.,",1
121,"papara,,Merhaba,,Ziraat Bankası transferi ile yatırdığın 60,00 TL hesabında. Bu,ay kalan hesaba gelen tutar limitin: 99.940,00 TL.,,Gelen tutar limiti, banka hesabından yatırdığın ve diğer Papara,kullanıcılarından gelen tutarlar için geçerlidir.,,  ,,İşlemin detaylarını hesabına girip görüntüleyebilirsin.,,İyi günler dileriz,,",0
122,"SAMSUNG,,Samsung beyaz eşyanı,,Migros hediye çeki veya Para,Kart hediyesi ile birlikte seç.,,Seçili Samsung beyaz eşya ve ankastre set satın alımlarında, 200 TL,veya 400 TL'lik Migros alışveriş çeki ya da TL yüklü Para Kart kazanma,fırsatı,, ,,İNCELE,, ,, ,, ,",1
123,"SAMSUNG,,Herkes Hazırsa,,Fırsat MCDU Açıldı!,,Galaxy ailesinde fırsatlar Samsung Online Mağaza'da,sizi bekliyor.,,İNCELE,,za Şubst,,9 Mart Cami —,,gi |),",1
124," ,,  , ,,ürünü,",1
125,"SAMSUNG Galaxy S21 Serisi 5G,,Efsanevi değişim!,,Eski telefonunuzu getirin, benzersiz avantajlarla,Galaxy 521 Serisi'ne geçin,,İNCELE,",1
126,"Bu fırsatı kaçırma Enes!,Teklif hala devam ediyor! Bugün kaydol,,,1.500 €'lık hoş geldin bonusu ve 150 ücretsiz,çevirme hakkı kazan Enes!,,folifelilielli,",1
127," ,,İSTEK LİSTENİZE EKLEDİĞİNİZ 1,OYUN İNDİRİMDE!,, ,",1
128,"hepsiburada,,BEYAZ EŞYA VE TELEVİZYONLARDA,İNDİRİM FESTİVALİ,,     ,, ,",1
129,"öroketsan,,Sayın ENES SADIK,,İlan başvurunuz alınmıştır. Vizyoner Genç'i tercih ettiğiniz için teşekkür ederiz.,,VİZYONER GENÇ,",0
130,"BE,express,,e-Hamal.com'da,230 TL ve üzeri,alışverişler anında,,30 TL indirimli,,üstelik kuru,kayısı hediyeli!,, ,",1
131," ,,KOTA VOK, o,TAAHHÜT VOK! id,100 MBPS'E KADAR,,SINIRSIZ İNTERNET! di ;,*,,.,,100 Mbps'e Kadar İnternet,,Kotayla Taahhütle Uğraşmayın. Bir Ay Deneyin,,Beğenmezseniz Paranız 96100 İadel,",1
132,"     ,    , ,, ,   ,,EN SEVİLEN,PARFÜMLERDE,,İNDİRİMLER,,i k KEŞFETMEN İÇİN SENİ BEKLİYOR >,,Sağlıklı beslenmene yardımcı Masaj aletlerinde süper,küçük ev aletleri fiyatlar burada,",1
133,"everest sgm x7 gamer mouse,Pazarlık edilebilir,, ,,takas olurmu 250 gb harddiskle,",0
134,"Ev, Araba, iPhone Kazan!,,Formu doldurun, İstanbul'da Daire, Fiat 500X Cross veya iPhone 7,kazanma şansı yakalayın.,,Kampanyaya Katıl,,İstanbul'da,. ladet,Dali,,   ,   ,, ,,Zadet,Fiat 500X — 30 adet,Cross iPhone 7,,7 3,— S,",1
135,"Sinema Biletin Webte ve Cepte 940 İndirimli!,,25 yaş altı CGV Cinema Club üyeleri Cinemaximum web sitesinden ve mobil,uygulamasından 20/3D formatındaki sinema biletlerini 2640 indirimli alıyor!,Kampanya bugün ve Perşembe günü geçerlidir. Fırsatı kaçırma!,, ,,el,",1
136," ,,SELAM ENES SADIK,,,SİPARİŞİNİZ SEVK EDİLDİ,,SİPARİŞ 8683 - GÖNDERİLDİ,,8683 Referanslı siparişiniz sevk edildi,Ofisel den alışveriş yaptığınıziçin teşekkür ederiz!,,Siparişi gözden geçirmek için Dükkanımızdan müşteri bölümünden “Hesabim” linkine tıklayarak, ""Sipariş.,Geçmişi"" bölümünden fatura indirebilirsi,, ,",0
137," ,,SELAM ENES SADIK,,,SİPARİŞ 8683 - TRANSİT,,Sizin 8683 Referanslı siparişiniz şuanda transit aşamasında.,, ,,Aşağıdaki bağlantıyı kullanarak paketi izleyebilirsiniz:,, ,,Siparişi gözden geçirmek için Dükkanımızdan müşteri bölümünden “Hesabım” linkine tıklayarak,,,ipariş Geçmişi"" bölümünden fatura indirebilirsiniz.,, ,, ,,Dükkan bölümünde eğer bir konuk hesabınız varsa Üzerinden siparişlerini,İzleme"",, ,,iniz “Misafir,",0
138,"obiletcom,,4 , O KÂMiLKoC,,obilet.com aa,ye,,>,,   ,,200'den fazla firmadan oluşan geniş ailemize Kamil Koç da katıldı!,Hemen bilet sorgula, Kamil Koç ile 200'den fazla noktaya seyahat et,,Otobüs Bileti Sorgula,",1
139,"MW Firebase,,WhatsChat,,""whatschat-928de"" adlı (Firebasel Realtime,,Database'inizde güvenli olmayan kurallar mevcut,, ,,Güvenlik kurallarınızla ilgili şu sorunları tespit ettik:,,* herhangi bir kullanıcı veritabanınızın tamamını okuyabilir,» herhangi bir kullanıcı veritabanınızın tamamına yazabilir,,Güçlü güvenlik kuralları olmadan veritabanınızın adresine sahip olan herkes; veri,tabanınızı okuyabilir ve buraya yazabilir, ayrıca verilerinizi çalıp, değiştirip veya silip,maliyetli işlemlere neden olan saldırganlara karşı savunmasız hale getirebilir.,",0
140,"GS spotiy,,Tüm hitler tek bir,çalma listesinde.,,Hot Hits Türkiye çalma listesinde en hit 50 şarkı seni bekliyor.,,Denemek ister misin? Spotify'a geri gel ve ücretsiz olarak dinle.,, ,",1
141,"$ Spotify Premium,,Premium Duo.,İki kişilik.,, ,,Premium Duo çiftler için tasarlanmıştır. Hem de ne kadar,farklı olurlarsa olsunlar. Ayda yalnızca 23.99 TL,karşılığında kesintisiz müzik, sınırsız atlama hakkı ve,çevrimdışı dinleme gibi Premium avantajlarını barındıran,iki hesap edin. İlk ayın bizden.,,BİR AY ÜCRETSİZ EDİN,",1
142,"MW Firebase,,Test Modunda geliştirmeye başlamayı seçmeniz nedeniyle Cloud Firestore veritabanınız,internete tamamen açık durumda, Uygulamanızın saldırganlara karşı korunmasız olması,nedeniyle Firestore güvenlik kurallarınız ilk 30 günden sonra isteklere izin vermeyi,durduracak şekilde yapılandırıldı.,,97 gün önce başlayarak, Firestore veritabanınıza yönelik tüm istemci istekleri reddedildi,ve güvenlik kuralları güncellenene kadar reddedilmeye devam edecek. Analiz günlük,olarak çalıştırılır. Kurallarınızı son 24 saat içinde değiştirdiyseniz bu değişiklikler hesaba,katılmamış olabilir.,",0
143,"Türk Telekom 9 >,,Online İşlemler ile kampanyanızı yenileyin,,indirimli internet keyfinize,, ,,Sayin,,Fatura bilgileriniz asagida yer almaktadir,,Hesap Numarasi,,Fatura Dönemi Aralık 2020,Son Ödeme Tarihi 18 Ocak 2021,Ödenecek Tutar 5125TL,",0
144,"© Tripadvisor,,İlk yorumunuzu gönderdiğiniz,için teşekkürler, Enes.,Deneyimlerinizi paylaşarak diğer gezginlere yardımcı,,olmanız gerçekten çok anlamlı bir davranış. TripKolektif'ten,kazandığınız puana bir göz atın:,, ,",0
145,"© Tripadvisor,,Nereye gitmek istiyorsunuz?,,Tripadvisor'da, daha önce oraya giden gezginlerden,tavsiyeler alarak sizin için doğru olanı bulabilirsiniz.,, ,,| Haydi gidelim,, ,, ,",0
146,"/NA,,Siparişiniz yola çıktı,,SİPARİŞ NO 52154276278,,KARGONUZ KISA SÜRE İÇİNDE TESLİM EDİLECEK,, ,,TAKİP EDİN,,Teslimat,,EVE STANDART GÖNDERİ,",0
147,"Bakım Çalışması,22.04.2020 00:00-03:00 arası,,Bu gece yapılacak bakım çalışması nedeniyle Notedu hizmelerinde,kesintiler yaşanabilir. Anlayışınız için teşekkür ederiz.,",0
148,"HC CARE,,natural & healthy,,SEPETTE ANINDA 15 TL İNDİRİM *,80 TL ÜZERİ'NE EL ve CİLT DEZENFEKTANI *,150 TL. ÜZERİNE 32 TL'YE VARAN DİLEDİĞİNİZ 1 ÜRÜN HEDİYE,,HC Resmi Satış Sitesi www hc.com ir adresinden 100 TL. ve üzeri sipariş veren tüm müşterilerimize saç ve cilt bakım ürünlerine ve parfümlere özel sepette anında 15 TL indirim.,,İndirimden faydalanmak için kullanmanız gereken kupon kodu,HC7643,,80 TL. ve üzeri siparişlerde Khrion Clinic El ve Cilt Dezenfektanı hediye,,Ayrıca 150 TL. ve üzeri siparişlerde seçebileceğiniz bir ürün hediye.,",1
149,"Sayın ENES SADIK,,,5045729585 no'lu talebiniz hakkında HP Destek ile iletişime geçtiğiniz için teşekkür,ederiz.,,Kısa süre önce deneyiminizle ilgili geri bildirimlerinizi paylaşmanız için size bir davet,gönderdik. Müşteri hizmetlerimizi iyileştirmeye devam edebilmemiz için lütfen iki,dakikanızı ayırarak fikirlerinizi paylaşın. Yorumlarınız bizim için çok değerlidir;,yanıtlarınızı bekliyoruz!,,Son destek deneyiminizi göz önünde bulundurduğunuzda, HP'yi yakınlarınıza,,ailenize veya iş arkadaşlarınıza tavsiye eder misiniz?,",0
150,"Merhaba Enes Sadık,,,HP hesabınıza erişimi kurtarın,,Bu e-posta adresi HP hesabınızı kurtarmak amacıyla kayıtlarda tutulmaktadır.,HP hesabı kullanıcı adınız: enessadikkdomail.com.,,Bu hesap kurtarma işlemini siz başlatmadıysanız ve bu e-posta adresini kullanarak HP hesabınızı,kaydettirdiyseniz başka bir kişi hesabınıza erişmeye çalışıyor olabilr. Kullanıcı adınızı başka hiç,,kimseye yönlendirmeyin veya hiçbir şekilde göndermeyin.,,Teşekkür ederiz,,HP Ekibi,",0
151," ,, ,,Değerli Müşterimiz,,, ,,da detayları b,teslim alınmıştı.,, ,,rilen 1Z1RRO306805361181 gönderiniz t,, ,,Paketinizin son hareketlerini,,    ,,UPS tercih ettiğiniz için teşekkür ederiz,,Saygıları,UPS Türkiye,, ,,mızla,,, ,",0
152,"$ Spotify Premium,Şansını kaçırma.,KE,, ,,Parti bitmek üzere. Dinleme deneyimini yükseltme şansını,kaçırma. Premium'u şimdi edin, sevdiğin müzikleri çevrimdışı ve,kesintisiz olarak dinle,,3 AY ÜCRETSİZ KULLAN,",1
153," ,, ,,Le) STEAM,,Sayın eness3306,,Steam Guard Mobil Kimlik Doğrulayıcı kodlarını artık yeni bir aygıttan,alıyorsunuz.,,Eğer bu işlemi siz gerçekleştirmedi iseniz, aşağıdaki bağlantıyı takip,ederek hesabınızı kilitleyin ve destek talebinde bulunun.,,Hesabımı kilitle,",0
154,"hepsiburada,,20 TL İNDİRİM,, ,,Sporu evine taşıyacak,ürünlerde 050 indirim,,/ VA,,Karaca ve Emsan ürünlerinde,9b50'ye varan indirimler,",1
155,"Google,,Google Hesabınız için şifre sıfırlama,isteğinde bulunuldu,,(ğ enessadikkegmaicom,,Merhaba Enes,,,Google, enessadikk(ggmai.com Google Hesabı'na erişimi kurtarmak için,istek aldı.,,Bu istek sizden geldiyse şu an herhangi bir işlem yapmanız gerekmez.,Daha fazla talimat 6-12 saat içinde e-postayla gönderilecektir.,,Bu istek sizden gelmediyse iptal edebilirsiniz. Şüpheli hesap kurtarma,istekleri hakkında daha fazla bilgi edinin,,Sabrınız için teşekkür ederiz.,,Saygılarımızla,,Google Hesapları Ekibi,",0
156,"Samsung Account,,Şifreniz başarıyla sıfırlandı.,,Değerli Müşterimiz,,Hesabınızın şifresi başarıyla değiştirildi,,enessadikk gmail.com,,Şifrenizi sıfırladınız mı?,Değişikliği yapan siz değilseniz, lütfen hesabınızı korumak için şifrenizi,sıfırlayın.,,Şifreyi sıfırla,",0
157,"e) STEAM,,Merhaba <-€noTekAlI->!,,İstek listenizdeki bu oyunlar indirimde:,, ,, ,, ,, ,,Pummel Party,,ÖZEL PROMOSYON! Teklifin geçerlilik süresi: 5 Ağu 8:00pm *03,,3496, çeson,",1
158,"Mesajınız Var,,122 EKRAN ULTRA HD 4K SMART 3D WİFİ başlıklı ilanla ilgili mesajınız var.,,iyaman147ğf:,,As fiyat son beyfendi,",0
159,"Mesajınız Var,,samsung led tv başlıklı ilanla ilgili mesajınız var.,,mydam06ğf:,,satildi,",0
160,"Mesajınız Var,,HYUNDAİ İ.20 2012 MOD.SENSE PAKET 82 BİN KM LPG OTOMATİK 100 LÜK başlıklı,ilanla ilgili mesajınız var.,,faozeyif:,,son fiyat 40 bin tl olur,",0
161,"Mesajınız Var,,49 İNÇ 127 EKRAN 4K UHD VESTEL SMART LED TV EN DOLU OLAN MODELİ başlıklı,ilanla ilgili mesajınız var.,, ,,yavuzufuk178ğf,,2300 yaparız hocm,",0
162,"Mesajınız Var,,SIFIRDAN FARKSIZ ÇİZİKSİZ 49” ” 4K SMART başlıklı ilanla ilgili mesajınız var.,, ,,oyeter137ğf:,,1750 olur,",0
163," ,,Yeni Bir Cihazdan Oturum Açıldı,,Merhaba Enes Sadık,,,sahibinden.com hesabınız ile farklı bir cihazdan oturum açıldı.,,Giriş Tarihi, Saati ve Bölgesi,,14/06/2019 - 2: 5 - Ankara, n,Türkiye U,, ,,Samsung SM-G975F İSİ Mobil uygulama,,Bu e-postayı, işlemi sizin yaptığınızdan emin olmak için gönderdik.,",0
164,"İMARS,,Ziyaretiniz sırasındaki tüm tahlil, tetkik, reçete ve tanı,bilgilerinize e-Nabız Kişisel Sağlık Sistemi'nden erişebilirsiniz,Bununla birlikte hastane Ziyaretiniz sırasında aldığınız sağlık,hizmetini yine e-Nabız Kişisel Sağlık Sistemi üzerinden,bizimle paylaşabilirsiniz. Bunun için tek yapmanız gereken,,,adresini ziyaret ederek e-Devlet şifreniz,ile sisteme giriş yapmaktır.,,Ayrıca sağlık yöneticilerimiz aldığınız sağlık hizmetlerine,yönelik talep ve önerilerinizi dinlemek üzere sizi evinizde,Ziyaret edebilir. Bu Ziyareti istemiyorsanız. tıklayın.,, ,",0
165," ,,Sevgili BAKS'larına Sahip Çık!,,Bir süredir Banabak'a girmediysen Kullanıcı Sözleşmesi'ne göre,31.12.2020 gecesi BAKS'larını silmemiz gerekiyordu,,Bu süreyi senin hatırın için bu ayın sonuna kadar uzattık,Hadi Banabak'ı ziyaret et, BAKS'larını kurtaralım!,,Uygulamaya girmekte problem yaşarsan infoGgbanabak.com'dan bize,ulaşabilirsin.,,Eğer yakın zamanda uygulamaya giriş yaptıysan bu maili gözardı edebilsin.,,TEK TIKLA BANABAK'A GEL, BAKS'LARINI KURTAR,",0
166,"Merhaba Enes,,Yorumunuz kullanıcılara yardımcı,oluyor,,Tebrikler, en az 5 kullanıcı bu yorumun faydalı,olduğunu söyledi. Bilgilerinizi paylaştığınız için,teşekkürler.,,YORUMLARINIZA BAKIN,, ,",0
167," ,,İHA PİLOTU,,“eri” EĞİTİMLERİ,7 BAŞLIYOR,, ,, ,, ,,ui,",0
168," ,, ,,e) STEAM,,Merhaba eness3306,,Steam üzerindeki hediye satın alımınız için teşekkür ederiz.,Hediyeniz Kürşat kullanıcısına gönderildi. Steam ve e-posta ile,bilgilendirilecekler.,, ,,Hediyenin etkinleştiriip etkinleştirlmediğini Bekleyen Hediyeler sayfanızdan,görebilirsiniz. Arkadaşınız Steam üzerinden hediyenizi etkinleştirdiği zaman,,hediyenizin ""Gönderildi"" durumu ""Kabul Edildi"" olarak değişecektir.,, ,",0
169," ,,Merhaba enessadikk,,,NVIDJA hesabınızın parolası yakın zamanda değiştirildi. Bu dei,herhangi bir şey yapmanıza gerek yok.,, ,,iği kendiniz yaptıysanız, başka,,   ,,Eğer parolayı değiştiren siz değilseniz, başka biri hesabınıza erişimde bulunmuş olabilir. Güvenli,sunucumuz aracılığıyla parolanızı sıfırlamak için, aşağıdaki bağlantıyı tıklatın.,, ,",0
170," ,, ,,e) STEAM,,Merhaba <-€noTekAlI->!,,İstek listenizdeki bu oyunlar indirimde:,,TEN,, ,,Dying Light,,HAFTA ORTASI ÇILGINLIĞI! Tekin geçerilik süresi: 26 Şub 9:00pm 403,,660. >oson,",1
171,"turk net "",,olması gerektiği gibi,, ,,Değerli TurkNetli,,,3524311070 numarali hizmetinizde 18.02.2019 - 02:00 / 18.02.2019 - 07:00 tarihleri arasinda planli,altyapi calismasi yapilacaktir. Bu tarihler arasinda intemet ve telefon hizmetinizde kesintiler,yasayabilirsiniz. Anlayisiniz icin tesekkur ederiz.,,Saygılarımızla,TurkNet,",0
172,"turk net,,olması gerektiği gibi,, ,,Değerli Turknet'li,,3524311070 aboneliğinize ait, 23549374 numarali destek kaydınızın son durumu ile lgili,temsilcimizden yeni bir mesajınız var,, ,,Destek talebinizi aldık ve ekiplerimiz incelemeye başladı. 24 saat içerisinde destek talebinizi,çözeceğiz ya da nasıl çözebileceğimizi, varsa sizin yapmanız gerekenleri bildireceğiz.,, ,, ,, ,,Bu gelişmeleri https//turk net/online-islemler/login adresinden takip edebilirsiniz.,Saygılarımızla,,Turknet,",0
173,"Merhaba ENES SADIK,,,TurkNet Özgür İletişim abonelik işlemleriniz tamamlandı ve hizmetiniz aktif hale geldi. Modem,kurulumu yaparak hizmetinizi keyifle kullanabilirsiniz.,,Modem kurulumu konusunda yardim almak icin Turknst Video Destek adresimizdeki videolarımızı,izleyebilirsiniz. Bize ulaştığınızda abone numaranızı kullanmanız işlemlerinizi hızlandıracak.,,Abone No : 3524311070,,Modem kurulumu için gerekli bilgileriniz;,,Kullanıcı Adınız: 22957093345 turk net,Şifreniz: 7661669529,,Özgür letişim hizmetiniz il ilgili tüm işlemlerinizi Online İşlem Merkezinden yapabilirsiniz.,, ,,TurkNet'le Özgür İletişim'i tercih ettiğiniz için teşekkür ederiz.,Saygılarımızla,,,TurkNet İletişim Hizmetleri A.Ş.,",0
174,"hepsiburada,,Paketiniz kargoya verildi,,En kısa sürede belirttiğiniz adrese teslim edilecektir.,,Yine,,KARGO TAKİP NUMARASI,,1987 8489 1148,",0
175,"İşte bu kadar!,,Tebrikler!,,Ürünün artık yayında.,, ,",0
176,"hepsiburada,,      ,,60'A VARAN,İNDİRİMLER,,—,,: >,,i -,,i Günün fırsatları , z,,i KEŞFETMEN İÇİN SENİ BEKLİYOR > a,Temizlik ve kağıt ürünlerinde,,“b30'a varan indirimler,,Kendine süper fiyatlarla yeni,bir parfüm hediye et,",1
177,"Karşınızda Galaxy S9.,Değişim Kampanyamıza katılın,,kazançlı çıkın!,,86 Edge Plus'ınızı Samsung Mağazalarımıza getirin, Yeni,varan indirimle sahip olma şansı yakalayın.,,   ,, ,, ,, ,,Daha Fazlasını Keşfedin,, ,",1
178,"Yeni Galaxy S9,hediyeleri ile geliyor!,, ,, ,, ,, ,,Hemen ön sipariş verin,, ,",1
179,"Merhaba Enes Sadık!,,iPhone X kazanmak,ister misin?,,10 iPhone X'ten biri senin olabilir!,,> iPhoneX,KAZAN,, ,,Mart ayında bir ilan yayınla, formu doldur ve 10 iPhone'dan birini kazanma şansını,yakala.,",1
180,"—X Yemeksepeti,,McDonald's ile dev indirimli dev menüler!,, ,",1
181,"Gençsen Sinema Biletin Webte ve Cepte 9440 İndirimli!,,25 yaş altı CGV Cinema Club üyeleri Cinemaximum web sitesinden ve mobil,uygulamasından 2D/3D formatındaki sinema biletlerini 2640 indirimli alıyor!,,Hemen İncele,",1
182,"Neden yılbaşı gelsin diye,bekliyorsunuz?,,Samsung mağazalarında 2.400 TL'ye varan indirimlerle, eski telefonunuzu,anında yenisi ile değiştirme imkanı”. Mağazalarımızda sağlanan hızlı işlem ile,10 aya kadar vade farksız kredi fırsatı”*,, ,, ,,Şimdi Keşfet,, ,, ,",1
183,"Ev, Araba, iPhone Kazan!,,Formu doldurun, İstanbul'da Daire, Fiat 500X Cross veya iPhone 7,kazanma şansı yakalayın.,,Kampanyaya Katıl,,   ,",1
184,"WA) Hizitesiimat » Ücretsizinde,,ORIGINALS,,SON GUN!,,z,2,z,Be,o,Tİ,>,<,a,m,u,x,$,m,, ,",1
185," ,,ERKEK KADIN ÇOCUK ORIGINALS SPOR,,Pa ©»,, ,",1
186,"hepsiburada,, ,,KeerKe is iTellele,YILIN İLK ALIŞVERİŞ,FESTİVALİ'NDE,*40 İNDİRİMLİ,,FIRSATLARI KAÇIRMA >»,, ,, ,",1
187,"popoara,,Papara Card ile,harcardıkça kazan!,,Cashback ile anlaşmalı,markalarımızdan Papara Card'ınla,harcama yap, anında nakit kazan!,,Hemen incele (©),, ,",1
188," ,",1
189,"hepsiburada,,LENOVO İNDİRİM GÜNLERİ,, ,,Lenovo Ideapad 330-151CH Core i7 Lenovo Ideapad 330S-1SIKB Core i5,16GB 1TB Taşınabilir Bilgisayar 8GB Taşınabilir Bilgisayar,,8-559 TE 5-339 TE,,z 5.999 TL 4.499 TL,",1
190," ,,İndirimler çok sıcak, kaçmasın!,,SEÇİLMİŞ MENÜ İNDİRİMLERİ,,İf SİPARİŞ VER,",1
191,"Tebrikler Enes, harika bir dünyaya,girmeye hak kazandın!,,Enes, 1.500 €'luk inanılmaz hoşgeldin bonusu ve,150 bedava çevirme hakkını almak için hala çok,geç değil.,,Bon nu Al!,, ,,bugün al!,",1
192," ,,İlanınız Yayınlanmaya Başladı,,Merhaba Enes Sadık,,,İlanınız yayınlanmaya başladı,,Gamer Koltuk,#914952669,,Fiyatı: o 500TL,,İlanınızın daha fazla kişiye ulaşması için sosyal medyada paylaşabilirsiniz.,",0
193," ,, ,,ilin English,Merhaba,,,Bu yılki ilk sürümümüz olan IntelliJ IDEA 2021.1 kullanıma sunuldu! Bir dizi,beklenen yeni özellik ve geliştirmeyle birlikte geliyor.,",0
194," ,,100 TLik kredinizi alın,,Sunduğunuz ürün veya hizmetleri arayanlara ulaşmaya,başlayın.,",1
195," ,,9470'e Varan İndrim,,4470'e varan indirim fırsatı başladı! Hemen alışverişe,başla.,",1
196,"Size Özel,Efsanevi Fırsat,,Şimdi satın alın, tüm avantajlara ek,,sepette 800 TL indirim fırsatını kaçırmayın.,,KODU AL,",1
197,"Her şeyi oldukça hızlı,tarayın.,,Ücretsiz Adobe Scan mobil uygulamasıyla her yerde kağıtlar ve,beyaz tahtalardan güvenle yüksek kaliteli PDF'ler oluşturup,paylaşabilirsiniz. Her şeyi anında tarayın ve profesyonel,görünümlü bir PDF dosyasına dönüştürün. Ofis tarayıcısının,gücünü cebinizde yaşayın.,",0
198,"blutv,, ,,Margot Robbie'nin canlandırdığı Harley Ouinn'i, DC'nin sevilen kadın kahramanlarıyla bir,araya getiren film şimdi BluTV'de.,,11 Ocak'a kadar harekete geç, ayda $22.90 yerine sadece $9.90'a yıllık üyelik başlat!,",0
199,"Enes, internetteki hareketlerin görünür oldu!,,Web sitelerinin seni izlemesini önlemek için konumunu,ve kişisel bilgilerini gizle.,,Kendini bilgisayar korsanlarından, siber,dolandırıcılardan, meraklılardan ve devlet kontrolünden,koru.,,V Netilix gibi coğrafi olarak kısıtlanmış sitelere dünyanın,her yerinden eriş.,, ,",1
200,"Enes gizlilik hakkını koru!,,Önceden internetteki hareketleri servis sağlayıcılar ve yetkili,makamlar tarafından izlenen, ama artık tam gizliliğin keyfini çıkaran,yüz binlerce üye arasına katıl.,, ,,Şimdi BURADA ve ÜCRETSİZ. Neden katılmalısın:,,Eweb sitelerinin seni izlemesini önlemek için konumunu ve kişisel,bilgilerini gizle,,Ekendini bilgisayar korsanlarından, siber dolandırıcılardan,,meraklılardan ve devlet kontrolünden koru,,Netflix gibi coğrafi olarak kısıtlanmış sitelere dünyanın her,yerinden eriş,,,'RETSİZ DENEMENİ Al,, ,",1
201," ,",1
202,"Yaz Okulu Kayıtları Başladı!,,Anadolu Üniversitesi Açıköğretim Sistemi Yaz Okulu kayıtları başladı.,https://aof.anadolu.edu.tr/kayit/ adresinden 28 Temmuz 2020 tarihine kadar,kaydınızı yaptırabilirsiniz.,",0
203,"Nikolay,,TL, USD, Euro Repo İşlemleriniz Artık Mobil'de!,",0
204,"SAMSUNG,,Millrefelar4klelşaiigfe|,iigselileldiifeğprelşTelile,, ,",1
205,"#SOSYALMESAFEYİKORUYUN,,E.,| Bir Arada Olacağımız Günler Artık Çok Daha Yakın!,, ,",0
206,"faktif/bank,,Sağlığınızı önemsiyoruz!,,Hassas günlerden geçtiğimiz bu dönemde, kendinin ve çevrendekilerin,sağlığını düşünerek bankacılık işlemlerini evden çıkmana gerek olmadan,7 gün/24 saat N Kolay Mobil ve Aktif Bank İnternet Şubesi'nden,,yapabilirsin,",0
207,"belşşrilşfeKelelşNojigil Misi,ellasfelkerelinelManMilklelili,Samsung'dan seçili buzdolabı ve,,çamaşır makinesini birlikte alanlara,500 TL indirim fırsatı!*,",1
208,"bilalşğrelşizelşştelai,ileriye elgell ki,,ik senin keşfetmeni istiyoruz. Senin için,lere bugün.,, ,",1
209,"hepsiburada,,   ,,Xiaomi akıllı telefonlarda,,“520'YE VARAN,İNDİRİMLER,, , ,   ,,7 Ve,, ,,Günün fırsatları ,,KEŞFETMEN İÇİN SENİ BEKLİYOR >,,LİN,,Fakir küçük ev aletlerinde Temizliğin uzmanlarında,“40'a varan indirimler “b30'a varan indirimler,",1
210," ,,Bakış açını değiştir!,,#FarklıBak,,Galaxy cep telefonunla yakaladığın anları #FarklıBak ile paylaşıp bizi etiketle ve bizi,takip et, Samsung Türkiye Instagram hesabımızda yer alma şansı yakalal,,KEŞFET,, ,",1
